Agent_Age,Agent_Rating,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Premium_Delivery,Distance
37,4.9,Sunny,High ,motorcycle ,Urban ,120,Clothing,1,3.0251492856775037
34,4.5,Stormy,Jam ,scooter ,Metropolitian ,165,Electronics,0,20.183529728733618
23,4.4,Sandstorms,Low ,motorcycle ,Urban ,130,Sports,0,1.5527578022548725
38,4.7,Sunny,Medium ,motorcycle ,Metropolitian ,105,Cosmetics,1,7.790401360105752
32,4.6,Cloudy,High ,scooter ,Metropolitian ,150,Toys,0,6.2101379656240985
22,4.8,Cloudy,Jam ,motorcycle ,Urban ,130,Toys,0,4.610365144357058
33,4.7,Fog,Jam ,scooter ,Metropolitian ,200,Toys,0,16.600361127912656
35,4.6,Cloudy,Medium ,motorcycle ,Metropolitian ,160,Snacks,0,20.20525323529291
22,4.8,Stormy,Jam ,motorcycle ,Metropolitian ,170,Electronics,0,19.975520086221444
36,4.2,Fog,Jam ,motorcycle ,Metropolitian ,230,Toys,0,10.280582064621875
21,4.7,Stormy,High ,motorcycle ,Metropolitian ,115,Cosmetics,1,6.242318682701243
23,4.7,Sandstorms,Medium ,scooter ,Metropolitian ,105,Shoes,1,13.787860239172547
34,4.3,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Apparel,1,2.9302578007621216
24,4.7,Fog,Jam ,scooter ,Metropolitian ,205,Jewelry,0,19.39661829066159
29,4.5,Sandstorms,Jam ,van,Metropolitian ,100,Outdoors,1,13.763977224427641
35,4.0,Windy,High ,scooter ,Metropolitian ,33,Grocery,1,6.21800119018663
33,4.2,Sandstorms,Jam ,motorcycle ,Metropolitian ,200,Cosmetics,0,16.849939918016492
34,4.9,Cloudy,Jam ,motorcycle ,Metropolitian ,205,Snacks,0,10.757108800258132
21,4.7,Windy,Jam ,motorcycle ,Urban ,75,Jewelry,1,4.5405743887312955
25,4.1,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Toys,0,12.256076445468295
31,4.7,Sandstorms,Low ,van,Metropolitian ,130,Books,0,19.618739348801018
37,5.0,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Clothing,1,1.5581322655568652
33,4.3,Windy,Jam ,scooter ,Metropolitian ,195,Snacks,0,20.180635114114718
25,4.0,Cloudy,High ,motorcycle ,Metropolitian ,170,Jewelry,0,6.116971669682334
29,4.5,Sunny,Medium ,van,Metropolitian ,75,Outdoors,1,17.07559440107296
27,5.0,Stormy,Jam ,motorcycle ,Urban ,90,Cosmetics,1,4.470286489434607
35,4.3,Cloudy,Low ,scooter ,Metropolitian ,190,Electronics,0,13.68204452608078
32,4.0,Windy,Jam ,motorcycle ,Metropolitian ,235,Cosmetics,0,13.973182653917394
23,4.8,Windy,Low ,van,Urban ,60,Jewelry,1,16.85361872985359
31,4.8,Sandstorms,Low ,motorcycle ,Metropolitian ,130,Jewelry,0,4.674172124263269
36,4.1,Stormy,Low ,motorcycle ,Urban ,110,Cosmetics,1,7.60161677107109
26,4.3,Sandstorms,Low ,motorcycle ,Urban ,105,Jewelry,1,7.720324413179964
38,4.9,Cloudy,High ,scooter ,Urban ,125,Shoes,0,6.1756362610169315
32,3.5,Stormy,Jam ,scooter ,Urban ,35,Grocery,1,17.29786575291325
32,4.6,Cloudy,Low ,scooter ,Metropolitian ,150,Sports,0,19.914686965545187
33,4.9,Sunny,Medium ,motorcycle ,Metropolitian ,110,Jewelry,1,10.724517748046026
20,4.7,Windy,High ,scooter ,Urban ,50,Toys,1,6.127835452844326
20,4.8,Sandstorms,Low ,scooter ,Metropolitian ,95,Kitchen,1,1.5203573134022046
